Name,School,Description,Level
Ethereal Jaunt,Conjuration,Use the Ethereal Plane to move through objects and into the air.,9
Field of Life,Necromancy,Create a positive energy field that heals those within.,9
Final Sacrifice,Evocation,Channel energy to blow up your minion.,9
Finger of Death,Necromancy,Point at a creature to deal negative damage and possibly kill it instantly.,9
Flame Strike,Evocation,Call divine fire from the sky.,9
Forgotten Lines,Divination,HRS Restore destroyed or censored text.,9
Harm,Necromancy,Negative energy harms the living or heals the undead-- either a single creature or all in a burst.,9
Heal,Necromancy,Positive energy heals the living or harms the undead-- either a single creature or all in a burst.,9
Heroism,Enchantment,Stoke a creature's inner heroism to make it more competent.,9
Holy Cascade,Evocation,Turn a vial of holy water into an explosion of blessed water.,9
Raise Dead,Necromancy,Return a dead creature to life.,9
Ravening Maw,Necromancy,You evoke Zevgavizeb’s unceasing hunger and inflict it upon your target.,9
Regenerate,Necromancy,Cause a creature to heal over time-- regrow organs-- and reattach body parts.,9
Scintillating Safeguard,Abjuration,Reactively protect multiple creatures from harm with a magic barrier.,9
Searing Light,Evocation,A ray of burning light deals extra damage to undead and counteracts darkness.,9
Shadow Blast,Evocation,Shape a cone of shadow to deal damage of a type you choose.,9
Sound Burst,Evocation,Damage and deafen creatures with a powerful din.,9
Spirit Blast,Necromancy,Damage a creature's spiritual essence.,9
Spirit Link,Necromancy,Continually transfer your health to someone else.,9
Spiritual Guardian,Abjuration,Create a magical guardian to attack at your command and take damage for your allies.,9
Sudden Blight,Necromancy,Decay living creatures and plants.,9
Summon Celestial,Conjuration,Conjure a celestial to fight on your behalf.,9
Summon Fiend,Conjuration,Conjure a fiend to fight on your behalf.,9
Sunburst,Evocation,A globe of sunlight deals fire damage-- hurts undead-- and overcomes darkness.,9
Vampiric Exsanguination,Necromancy,Draw blood and life force from creatures in a cone.,9
Vampiric Maiden,Necromancy,A ghostly iron maiden harms a creature and transfers its vitality to you.,9
Vampiric Touch,Necromancy,Deal negative damage and gain temporary HP with a touch.,9
Vital Beacon,Necromancy,Radiate vitality that heals creatures that touch you.,9
Whirling Scarves,Abjuration,You surround yourself in a vortex of whirling colorful scarves of force that obfuscate you and disorient your foes.,9
Zealous Conviction,Enchantment,Instill unshakable conviction and zeal in willing creatures.,9
