Name,Level,Price,Rarity,Traits,Category,Subcategory,Bulk
Monkey Pin,2,6 gp,Common,Consumable Magical Talisman Transmutation,Consumables,Talismans,—
Oil of Weightlessness,2,6 gp,Common,Consumable Magical Oil Transmutation,Consumables,Oils,L
Orgin Unguent,2,6 gp,Common,Alchemical Consumable,Alchemical Items,Alchemical Tools,L
Silversheen,2,6 gp,Common,Alchemical Consumable,Alchemical Items,Alchemical Tools,L
Thunder Snare,2,6 gp,Common,Auditory Consumable Mechanical Snare Trap,Snares,—,—
Toad Tears,2,6 gp,Common,Alchemical Consumable Ingested Poison,Alchemical Items,Alchemical Poisons,L
Antler Arrow,2,7 gp,Common,Conjuration Consumable Magical,Consumables,Ammunition,—
Bravo's Brew (Lesser),2,7 gp,Common,Alchemical Consumable Elixir Mental,Alchemical Items,Alchemical Elixirs,L
Bronze Bull Pendant,2,7 gp,Common,Consumable Evocation Magical Talisman,Consumables,Talismans,—
Cat's Eye Elixir,2,7 gp,Common,Alchemical Consumable Elixir,Alchemical Items,Alchemical Elixirs,L
Comprehension Elixir (Lesser),2,7 gp,Common,Alchemical Consumable Elixir Mental,Alchemical Items,Alchemical Elixirs,L
Crying Angel Pendant,2,7 gp,Common,Consumable Divine Necromancy Talisman,Consumables,Talismans,—
Effervescent Ampoule,2,7 gp,Common,Consumable Magical Talisman Transmutation,Consumables,Talismans,—
Lethargy Poison,2,7 gp,Uncommon,Alchemical Consumable Incapacitation Injury Poison Sleep,Alchemical Items,Alchemical Poisons,L
Mesmerizing Opal,2,7 gp,Common,Consumable Enchantment Magical Talisman,Consumables,Talismans,—
Oil of Potency,2,7 gp,Common,Consumable Magical Oil Transmutation,Consumables,Oils,L
Onyx Panther,2,7 gp,Common,Consumable Magical Talisman Transmutation,Consumables,Talismans,—
Savior Spike,2,7 gp,Common,Abjuration Consumable Force Magical Talisman,Consumables,Talismans,—
Yellow Musk Vial,2,7 gp,Common,Alchemical Consumable Inhaled Mental Poison,Alchemical Items,Alchemical Poisons,L
Cold Iron Object (Low-Grade),2,20 gp,Common,Precious,Materials,—,—
Silver Object (Low-Grade),2,20 gp,Common,Precious,Materials,—,—
Bottomless Stein,2,25 gp,Uncommon,Conjuration Magical,Held Items,—,L
Necklace of Knives,2,25 gp,Uncommon,Conjuration Invested Magical,Worn Items,Other Worn Items,—
Periscope,2,25 gp,Common,—,Adventuring Gear,—,L
Wayfinder,2,28 gp,Uncommon,Evocation Invested Magical,Worn Items,Other Worn Items,—
Archaic Wayfinder,2,30 gp,Uncommon,Evocation Magical,Worn Items,Other Worn Items,—
Brooch of Shielding,2,30 gp,Uncommon,Abjuration Invested Magical,Worn Items,Other Worn Items,—
Cold Iron Buckler (Low-Grade),2,30 gp,Common,—,Shields,Precious Material Shields,L
Full Plate,2,30 gp,Common,Bulwark,Armor,Base Armor,4
Hand of the Mage,2,30 gp,Common,Evocation Invested Magical,Worn Items,Other Worn Items,L
Hat of Disguise,2,30 gp,Common,Illusion Invested Magical,Worn Items,Other Worn Items,—
Pathfinder's Coin,2,30 gp,Uncommon,Illusion Magical,Held Items,—,—
Silver Buckler (Low-Grade),2,30 gp,Common,—,Shields,Precious Material Shields,L
Cold Iron Shield (Low-Grade),2,34 gp,Common,—,Shields,Precious Material Shields,1
Silver Shield (Low-Grade),2,34 gp,Common,—,Shields,Precious Material Shields,1
Wondrous Figurine (Onyx Dog),2,34 gp,Common,Conjuration Magical,Held Items,—,L
Glamorous Buckler,2,35 gp,Common,Illusion Magical,Shields,Specific Shields,L
Handwraps of Mighty Blows (+1),2,35 gp,Common,Invested Magical Transmutation,Worn Items,Other Worn Items,—
Hellknight Plate,2,35 gp,Uncommon,Bulwark,Armor,Base Armor,4
Magic Weapon (+1),2,35 gp,Common,Evocation Magical,Weapons,Basic Magic Weapons,—
Weapon Potency (+1),2,35 gp,Common,Evocation Magical,Runes,Fundamental Weapon Runes,—
Cold Iron Weapon (Low-Grade),2,40 gp,Common,—,Weapons,Precious Material Weapons,—
Silver Weapon (Low-Grade),2,40 gp,Common,—,Weapons,Precious Material Weapons,—
Tent (Pavilion),2,40 gp,Common,—,Adventuring Gear,—,12
Carriage,2,100 gp,Common,—,Vehicles,—,L
Disguise Kit (Elite Cosmetics),3,5 sp,Common,—,Adventuring Gear,—,L
Thieves' Tools (Infiltrator Picks),3,3 gp,Common,—,Adventuring Gear,—,L
Pathfinder Chronicle,3,6 gp,Uncommon,—,Adventuring Gear,—,L
Scholarly Journal,3,6 gp,Uncommon,—,Adventuring Gear,—,L
Blue Dragonfly Poison,3,7 gp,Uncommon,Alchemical Consumable Ingested Poison,Alchemical Items,Alchemical Poisons,L
Feather Step Stone,3,8 gp,Common,Consumable Magical Talisman Transmutation,Consumables,Talismans,—
Feather Token (Bird),3,8 gp,Common,Conjuration Consumable Magical,Consumables,Other Consumables,—
Grasping Tree,3,9 gp,Uncommon,Consumable Mechanical Snare Trap,Snares,—,—
Oil of Mending,3,9 gp,Common,Consumable Magical Oil Transmutation,Consumables,Oils,L
Olefactory Obfuscator,3,9 gp,Common,Alchemical Consumable Elixir,Alchemical Items,Alchemical Elixirs,L
Snapleaf,3,9 gp,Common,Consumable Illusion Magical Talisman,Consumables,Talismans,—
Torrent Snare,3,9 gp,Uncommon,Consumable Mechanical Snare Trap,Snares,—,—
Acid Flask (Moderate),3,10 gp,Common,Acid Alchemical Bomb Consumable Splash,Alchemical Items,Alchemical Bombs,L
Alchemist's Fire (Moderate),3,10 gp,Common,Alchemical Bomb Consumable Fire Splash,Alchemical Items,Alchemical Bombs,L
Beacon Shot,3,10 gp,Common,Consumable Evocation Magical,Consumables,Ammunition,—
Blight Bomb (Moderate),3,10 gp,Common,Alchemical Bomb Consumable Poison Splash,Alchemical Items,Alchemical Bombs,L
Bottled Lightning (Moderate),3,10 gp,Common,Alchemical Bomb Consumable Electricity Splash,Alchemical Items,Alchemical Bombs,L
Cytillesh Oil,3,10 gp,Common,Alchemical Consumable Injury Poison,Alchemical Items,Alchemical Poisons,L
Dread Ampoule (Moderate),3,10 gp,Common,Alchemical Bomb Consumable Emotion Fear Mental Poison Splash,Alchemical Items,Alchemical Bombs,L
Feather Token (Chest),3,10 gp,Common,Conjuration Consumable Magical,Consumables,Other Consumables,—
Frost Vial (Moderate),3,10 gp,Common,Alchemical Bomb Cold Consumable Splash,Alchemical Items,Alchemical Bombs,L
Ghost Charge (Moderate),3,10 gp,Common,Alchemical Bomb Consumable Positive Splash,Alchemical Items,Alchemical Bombs,L
Graveroot,3,10 gp,Common,Alchemical Consumable Injury Poison,Alchemical Items,Alchemical Poisons,L
Peshpine Grenade (Moderate),3,10 gp,Uncommon,Alchemical Bomb Consumable Splash,Alchemical Items,Alchemical Bombs,L
Shiver,3,10 gp,Common,Alchemical Consumable Drug Ingested Poison,Alchemical Items,Drugs,L
Survey Map,3,10 gp,Uncommon,—,Adventuring Gear,—,L
Tanglefoot Bag (Moderate),3,10 gp,Common,Alchemical Bomb Consumable,Alchemical Items,Alchemical Bombs,L
Thunderstone (Moderate),3,10 gp,Common,Alchemical Bomb Consumable Sonic Splash,Alchemical Items,Alchemical Bombs,L
Vine Arrow,3,10 gp,Common,Conjuration Consumable Magical,Consumables,Ammunition,—
Potion of Water Breathing,3,11 gp,Common,Consumable Magical Potion Transmutation,Consumables,Potions,L
Sleep Arrow,3,11 gp,Common,Consumable Enchantment Magical Mental Sleep,Consumables,Ammunition,—
2nd-Level Scroll,3,12 gp,Common,Consumable Magical Scroll,Consumables,Scrolls,L
Aurifying Salts,3,12 gp,Uncommon,Alchemical Consumable,Alchemical Items,Alchemical Tools,L
Bestial Mutagen (Moderate),3,12 gp,Common,Alchemical Consumable Elixir Mutagen Polymorph,Alchemical Items,Alchemical Elixirs,L
Cognitive Mutagen (Moderate),3,12 gp,Common,Alchemical Consumable Elixir Mutagen Polymorph,Alchemical Items,Alchemical Elixirs,L
Drakeheart Mutagen (Moderate),3,12 gp,Common,Alchemical Consumable Elixir Mutagen Polymorph,Alchemical Items,Alchemical Elixirs,L
Energy Mutagen (Moderate),3,12 gp,Uncommon,Alchemical Consumable Elixir Mutagen Polymorph,Alchemical Items,Alchemical Elixirs,L
Healing Potion (Lesser),3,12 gp,Common,Consumable Healing Magical Necromancy Potion,Consumables,Potions,L
Juggernaut Mutagen (Moderate),3,12 gp,Common,Alchemical Consumable Elixir Mutagen Polymorph,Alchemical Items,Alchemical Elixirs,L
Oil of Unlife (Lesser),3,12 gp,Common,Consumable Magical Necromancy Negative Oil,Consumables,Oils,L
Potion of Retaliation (Lesser),3,12 gp,Common,Consumable Evocation Magical Potion,Consumables,Potions,L
Quicksilver Mutagen (Moderate),3,12 gp,Common,Alchemical Consumable Elixir Mutagen Polymorph,Alchemical Items,Alchemical Elixirs,L
Serene Mutagen (Moderate),3,12 gp,Common,Alchemical Consumable Elixir Mutagen Polymorph,Alchemical Items,Alchemical Elixirs,L
Silvertongue Mutagen (Moderate),3,12 gp,Common,Alchemical Consumable Elixir Mutagen Polymorph,Alchemical Items,Alchemical Elixirs,L
Spellstrike Ammunition (Type I),3,12 gp,Common,Consumable Magical Transmutation,Consumables,Ammunition,—
Swamp Lily Quilt,3,12 gp,Rare,Alchemical Consumable,Alchemical Items,Alchemical Tools,2
Vaccine (Lesser),3,12 gp,Rare,Alchemical Consumable Elixir,Alchemical Items,Alchemical Elixirs,L
Violet Venom,3,12 gp,Common,Alchemical Consumable Contact Poison,Alchemical Items,Alchemical Poisons,L
Lock (Average),3,15 gp,Common,—,Adventuring Gear,—,—
Dwarven Daisy (Moderate),3,18 gp,Uncommon,Alchemical Bomb Consumable Fire Splash,Alchemical Items,Alchemical Bombs,L
Compass (Lensatic),3,20 gp,Common,—,Adventuring Gear,—,L
Crowbar (Levered),3,20 gp,Common,—,Adventuring Gear,—,L
Fishing Tackle (Professional),3,20 gp,Common,—,Adventuring Gear,—,1
Manacles (Average),3,20 gp,Common,—,Adventuring Gear,—,—
Recording Rod (Basic),3,20 gp,Uncommon,Consumable Divination Magical Scrying,Consumables,Other Consumables,1
Concealed Sheath,3,25 gp,Common,—,Adventuring Gear,—,—
Detective's Kit,3,25 gp,Common,—,Adventuring Gear,—,1
Repair Kit (Superb),3,25 gp,Common,—,Adventuring Gear,—,1
Fingerprinting Kit,3,30 gp,Uncommon,—,Adventuring Gear,—,L
Handcuffs (Average),3,30 gp,Uncommon,—,Adventuring Gear,—,L
Scholarly Journal (Compendium),3,30 gp,Uncommon,—,Adventuring Gear,—,L
Skinsaw Mask,3,30 gp,Uncommon,Divination Divine Evil Invested Magical,Worn Items,Other Worn Items,L
Climbing Kit (Extreme),3,40 gp,Common,—,Adventuring Gear,—,1
Disguise Kit (Elite),3,40 gp,Common,—,Adventuring Gear,—,L
Vestige Lenses,3,40 gp,Rare,Alchemical,Alchemical Items,Alchemical Tools,L
Manacles of Persuasion,3,45 gp,Uncommon,Magical Necromancy Nonlethal,Worn Items,Other Worn Items,1
Rope of Climbing (Lesser),3,45 gp,Common,Magical Transmutation,Held Items,—,L
Slick,3,45 gp,Common,Magical Transmutation,Runes,Armor Property Runes,—
Abadar's Flawless Scale,3,50 gp,Uncommon,Divination Magical,Held Items,—,1
Artisan's Tools (Sterling),3,50 gp,Common,—,Adventuring Gear,—,2
Doubling Rings,3,50 gp,Common,Evocation Invested Magical,Worn Items,Other Worn Items,—
Fighter's Fork,3,50 gp,Common,Magical Transmutation,Weapons,Specific Magic Weapons,1
Hat of the Magi,3,50 gp,Common,Arcane Conjuration Invested,Worn Items,Other Worn Items,—
Healer's Tools (Expanded),3,50 gp,Common,—,Adventuring Gear,—,1
Musical Instrument (Virtuoso Handheld),3,50 gp,Common,—,Adventuring Gear,—,1
Persona Mask,3,50 gp,Common,Fortune Illusion Invested Magical,Worn Items,Other Worn Items,—
Survey Map (Atlas),3,50 gp,Uncommon,—,Adventuring Gear,—,L
Thieves' Tools (Infiltrator),3,50 gp,Common,—,Adventuring Gear,—,L
Bracers of Missile Deflection,3,52 gp,Common,Abjuration Invested Magical,Worn Items,Other Worn Items,L
Kin-Warding,3,52 gp,Uncommon,Abjuration Dwarf Magical,Runes,Weapon Property Runes,—
Alchemist's Lab (Expanded),3,55 gp,Common,—,Adventuring Gear,—,6
Bullhook,3,55 gp,Uncommon,Enchantment Magical,Held Items,—,1
Clothing (High-Fashion Fine),3,55 gp,Common,—,Adventuring Gear,—,L
Golden Legion Epaulet,3,55 gp,Uncommon,Enchantment Invested Magical,Worn Items,Other Worn Items,L
Returning,3,55 gp,Common,Evocation Magical,Runes,Weapon Property Runes,—
Shadow,3,55 gp,Common,Magical Transmutation,Runes,Armor Property Runes,—
Snare Kit (Specialist),3,55 gp,Common,—,Adventuring Gear,—,2
Thurible of Revelation (Lesser),3,55 gp,Common,Divination Divine,Held Items,—,1
Channel Protection Amulet,3,56 gp,Uncommon,Abjuration Invested Magical,Worn Items,Other Worn Items,—
Bracelets of Dashing,3,58 gp,Common,Invested Magical Transmutation,Worn Items,Other Worn Items,L
Coyote Cloak,3,60 gp,Common,Divination Invested Magical,Worn Items,Other Worn Items,—
Crafter's Eyepiece,3,60 gp,Common,Invested Magical Transmutation,Worn Items,Other Worn Items,—
Dancing Scarf,3,60 gp,Common,Illusion Invested Magical Visual,Worn Items,Other Worn Items,—
Maestro's Instrument (Lesser),3,60 gp,Common,Enchantment Magical,Held Items,—,1
Magic Wand (1st-Level Spell),3,60 gp,Common,Magical Wand,Wands,Magic Wands,L
Palm Crossbow,3,60 gp,Rare,—,Adventuring Gear,—,L
Pendant of the Occult,3,60 gp,Common,Divination Invested Occult,Worn Items,Other Worn Items,—
Retribution Axe,3,60 gp,Common,Enchantment Magical,Weapons,Specific Magic Weapons,2
Staff of Fire,3,60 gp,Common,Evocation Magical Staff,Staves,—,1
Tracker's Goggles,3,60 gp,Common,Divination Invested Magical,Worn Items,Other Worn Items,—
Ventriloquist's Ring,3,60 gp,Common,Illusion Invested Magical,Worn Items,Other Worn Items,—
Musical Instrument (Virtuoso Heavy),3,100 gp,Common,—,Adventuring Gear,—,16
Heavy Chariot,3,150 gp,Common,—,Vehicles,—,L
Darkvision Elixir (Moderate),4,11 gp,Common,Alchemical Consumable Elixir,Alchemical Items,Alchemical Elixirs,L
Dragon Turtle Scale,4,13 gp,Common,Consumable Magical Talisman Transmutation,Consumables,Talismans,—
Dreamtime Tea,4,13 gp,Common,Alchemical Consumable Drug Ingested Poison,Alchemical Items,Drugs,L
Fortifying Pebble,4,13 gp,Uncommon,Abjuration Consumable Magical Talisman,Consumables,Talismans,—
Stone Fist Elixir,4,13 gp,Common,Alchemical Consumable Elixir Morph,Alchemical Items,Alchemical Elixirs,L
Bomber's Eye Elixir (Lesser),4,14 gp,Common,Alchemical Consumable Elixir,Alchemical Items,Alchemical Elixirs,L
Timeless Salts,4,14 gp,Common,Alchemical Consumable,Alchemical Items,Alchemical Tools,L
Barkskin Potion,4,15 gp,Common,Abjuration Consumable Potion Primal,Consumables,Potions,L
Biting Snare,4,15 gp,Common,Consumable Mechanical Snare Trap,Snares,—,—
Climbing Bolt,4,15 gp,Common,Conjuration Consumable Magical,Consumables,Ammunition,—
Deteriorating Dust,4,15 gp,Uncommon,Consumable Evocation Magical,Consumables,Other Consumables,—
Fang Snare,4,15 gp,Uncommon,Consumable Mechanical Snare Trap,Snares,—,—
Feather Token (Fan),4,15 gp,Common,Conjuration Consumable Magical,Consumables,Other Consumables,—
Focus Cathartic (Moderate),4,15 gp,Common,Alchemical Consumable Elixir Healing,Alchemical Items,Alchemical Elixirs,L
Hobbling Snare,4,15 gp,Uncommon,Consumable Mechanical Snare Trap,Snares,—,—
Leadenleg,4,15 gp,Common,Alchemical Consumable Injury Poison,Alchemical Items,Alchemical Poisons,L
Salamander Elixir (Lesser),4,15 gp,Common,Alchemical Consumable Elixir,Alchemical Items,Alchemical Elixirs,L
Shrinking Potion,4,15 gp,Common,Consumable Magical Potion Transmutation,Consumables,Potions,L
Sinew-Shock Serum (Moderate),4,15 gp,Common,Alchemical Consumable Elixir Healing,Alchemical Items,Alchemical Elixirs,L
Stalker Bane Snare,4,15 gp,Uncommon,Consumable Mechanical Snare Trap,Snares,—,—
Trip Snare,4,15 gp,Common,Consumable Mechanical Snare Trap,Snares,—,—
Warning Snare,4,15 gp,Common,Auditory Consumable Mechanical Snare Trap,Snares,—,—
Winter Wolf Elixir (Lesser),4,15 gp,Common,Alchemical Consumable Elixir,Alchemical Items,Alchemical Elixirs,L
Crystal Shards (Moderate),4,16 gp,Common,Alchemical Bomb Consumable Earth Splash,Alchemical Items,Alchemical Bombs,L
Viper Arrow,4,17 gp,Common,Conjuration Consumable Magical,Consumables,Ammunition,—
Mistform Elixir (Lesser),4,18 gp,Common,Alchemical Consumable Elixir Illusion Visual,Alchemical Items,Alchemical Elixirs,L
Applereed Mutagen (Lesser),4,20 gp,Rare,Alchemical Consumable Elixir Mutagen Polymorph,Alchemical Items,Alchemical Elixirs,L
Bloodseeker Beak,4,20 gp,Common,Consumable Magical Necromancy Talisman,Consumables,Talismans,—
Fear Gem,4,20 gp,Common,Consumable Enchantment Fear Magical Mental Talisman,Consumables,Talismans,—
Invisibility Potion,4,20 gp,Uncommon,Consumable Illusion Magical Potion,Consumables,Potions,L
Zerk,4,20 gp,Common,Alchemical Consumable Drug Injury Poison,Alchemical Items,Drugs,L
Striking,4,65 gp,Common,Evocation Magical,Runes,Fundamental Weapon Runes,—
Bag of Holding (Type I),4,75 gp,Common,Conjuration Extradimensional Magical,Held Items,—,1
Ghost Touch,4,75 gp,Common,Magical Transmutation,Runes,Weapon Property Runes,—
Mortar of Hidden Meaning,4,75 gp,Common,Divination Magical,Held Items,—,L
Healer's Gloves,4,80 gp,Common,Invested Magical Necromancy,Worn Items,Other Worn Items,L
Hunter's Arrowhead,4,80 gp,Rare,Enchantment Invested Magical,Worn Items,Other Worn Items,—
Lifting Belt,4,80 gp,Common,Invested Magical Transmutation,Worn Items,Other Worn Items,L
Spyglass (Fine),4,80 gp,Common,—,Adventuring Gear,—,L
Wayfinder of Rescue,4,80 gp,Uncommon,Evocation Invested Magical,Worn Items,Other Worn Items,—
Demon Mask,4,85 gp,Common,Enchantment Invested Magical,Worn Items,Other Worn Items,L
Animal Staff,4,90 gp,Common,Divination Magical Staff,Staves,—,1
Blessed Tattoo,4,90 gp,Uncommon,Abjuration Invested Magical Tattoo,Tattoos,—,—
Cloak of Repute,4,90 gp,Common,Enchantment Invested Magical,Worn Items,Other Worn Items,1
Exquisite Sword Cane,4,90 gp,Common,Agile Concealable Finesse Parry Twin,Weapons,Base Weapons,1
Mentalist's Staff,4,90 gp,Common,Divination Magical Staff,Staves,—,1
Staff of Healing,4,90 gp,Common,Magical Necromancy Staff,Staves,—,1
Alchemist Goggles,4,100 gp,Common,Invested Magical Transmutation,Worn Items,Other Worn Items,—
Arcane Scroll Case of Simplicity,4,100 gp,Uncommon,Invested Magical Transmutation,Worn Items,Other Worn Items,—
Divine Scroll Case of Simplicity,4,100 gp,Uncommon,Invested Magical Transmutation,Worn Items,Other Worn Items,—
Handwraps of Mighty Blows (+1 Striking),4,100 gp,Common,Invested Magical Transmutation,Worn Items,Other Worn Items,—
Magic Weapon (+1 Striking),4,100 gp,Common,Evocation Magical,Weapons,Basic Magic Weapons,—
Marvelous Calliope,4,100 gp,Uncommon,Conjuration Magical Structure,Structures,—,L
Occult Scroll Case of Simplicity,4,100 gp,Uncommon,Invested Magical Transmutation,Worn Items,Other Worn Items,—
Primal Scroll Case of Simplicity,4,100 gp,Uncommon,Invested Magical Transmutation,Worn Items,Other Worn Items,—
Shining Wayfinder,4,100 gp,Uncommon,Abjuration Divination Evocation Invested Magical,Worn Items,Other Worn Items,—
Sleeves of Storage,4,100 gp,Common,Conjuration Extradimensional Invested Magical,Worn Items,Other Worn Items,L
Sturdy Shield (Minor),4,100 gp,Common,Abjuration Magical,Shields,Specific Shields,1
Wand of Widening (1st-Level Spell),4,100 gp,Common,Magical Wand,Wands,Specialty Wands,L
Singing Sword,5,—,Rare,Enchantment Intelligent Occult,Intelligent Items,—,1
Diluted Hype,5,20 gp,Uncommon,Alchemical Consumable Drug Ingested Poison,Alchemical Items,Drugs,L
Potion of Leaping,5,21 gp,Common,Consumable Magical Potion Transmutation,Consumables,Potions,L
Universal Solvent (Moderate),5,21 gp,Common,Alchemical Consumable,Alchemical Items,Alchemical Tools,L
Sea Touch Elixir (Lesser),5,22 gp,Common,Alchemical Consumable Elixir Polymorph,Alchemical Items,Alchemical Elixirs,L
Sneaky Key,5,22 gp,Common,Consumable Evocation Magical Talisman,Consumables,Talismans,—
Stone Body Mutagen (Lesser),5,22 gp,Uncommon,Alchemical Consumable Elixir Mutagen Polymorph,Alchemical Items,Alchemical Elixirs,L
Shark Tooth Charm,5,23 gp,Common,Abjuration Consumable Magical Talisman,Consumables,Talismans,—
Cheetah's Elixir (Moderate),5,25 gp,Common,Alchemical Consumable Elixir,Alchemical Items,Alchemical Elixirs,L
Dagger of Eternal Sleep,5,25 gp,Uncommon,Consumable Magical Necromancy,Consumables,Other Consumables,L
Elven Absinthe,5,25 gp,Common,Alchemical Consumable Drug Ingested Poison,Alchemical Items,Drugs,L
Exploding Shield,5,25 gp,Common,Evocation Magical,Shields,Specific Shields,1
False Death,5,25 gp,Uncommon,Alchemical Consumable Ingested Poison,Alchemical Items,Alchemical Poisons,L
Freezing Ammunition,5,25 gp,Common,Cold Consumable Evocation Magical,Consumables,Ammunition,—
Hunting Spider Venom,5,25 gp,Common,Alchemical Consumable Injury Poison,Alchemical Items,Alchemical Poisons,L
Oil of Revelation,5,25 gp,Common,Consumable Evocation Magical Oil,Consumables,Oils,L
Salve of Slipperiness,5,25 gp,Common,Consumable Magical Oil Transmutation,Consumables,Oils,L
Sixfingers Elixir (Lesser),5,25 gp,Uncommon,Alchemical Consumable Elixir Polymorph,Alchemical Items,Alchemical Elixirs,L
Beckoning Cat Amulet,5,26 gp,Uncommon,Consumable Divination Fortune Magical Talisman,Consumables,Talismans,—
Eagle Eye Elixir (Moderate),5,27 gp,Common,Alchemical Consumable Elixir,Alchemical Items,Alchemical Elixirs,L
3rd-Level Scroll,5,30 gp,Common,Consumable Magical Scroll,Consumables,Scrolls,L
Cytillesh,5,30 gp,Uncommon,Alchemical Consumable Drug Ingested Poison,Alchemical Items,Drugs,L
Elixir of Life (Lesser),5,30 gp,Common,Alchemical Consumable Elixir Healing,Alchemical Items,Alchemical Elixirs,L
Emerald Grasshopper,5,30 gp,Common,Consumable Magical Talisman Transmutation,Consumables,Talismans,—
Oily Button,5,30 gp,Uncommon,Conjuration Consumable Magical Talisman,Consumables,Talismans,—
Potion of Disguise (Lesser),5,30 gp,Uncommon,Consumable Magical Polymorph Potion Transmutation,Consumables,Potions,L
Spellstrike Ammunition (Type II),5,30 gp,Common,Consumable Magical Transmutation,Consumables,Ammunition,—
Tiger Menuki,5,30 gp,Common,Consumable Magical Talisman Transmutation,Consumables,Talismans,—
Blindpepper Bomb,5,40 gp,Uncommon,Alchemical Bomb Consumable Visual,Alchemical Items,Alchemical Bombs,L
Necklace of Fireballs I,5,44 gp,Common,Evocation Invested Magical,Worn Items,Other Worn Items,—
Recording Rod (Reusable),5,60 gp,Uncommon,Consumable Divination Magical Scrying,Held Items,—,1
Floorbell,5,120 gp,Uncommon,Abjuration Magical,Held Items,—,1
Diplomat's Badge,5,125 gp,Common,Enchantment Invested Magical,Worn Items,Other Worn Items,—
Rope of Climbing (Moderate),5,125 gp,Common,Magical Transmutation,Held Items,—,L
Skeleton Key,5,125 gp,Common,Magical Transmutation,Held Items,—,—
Pocket Stage,5,138 gp,Common,Conjuration Magical Structure,Structures,—,L
Cold Iron Armor (Low-Grade),5,140 gp,Common,—,Armor,Precious Material Armor,—
Glamered,5,140 gp,Common,Illusion Magical,Runes,Armor Property Runes,—
Silver Armor (Low-Grade),5,140 gp,Common,—,Armor,Precious Material Armor,—
Wondrous Figurine (Candy Constrictor),5,140 gp,Common,Conjuration Magical,Held Items,—,L
Boots of Elvenkind,5,145 gp,Common,Invested Magical Transmutation,Worn Items,Other Worn Items,L
Cinderclaw Gauntlet,5,150 gp,Uncommon,Evocation Magical,Weapons,Specific Magic Weapons,L
Corpseward Pendant,5,150 gp,Uncommon,Abjuration Invested Magical,Worn Items,Other Worn Items,—
Dagger of Venom,5,150 gp,Common,Magical Necromancy Poison,Weapons,Specific Magic Weapons,L
Disrupting,5,150 gp,Common,Magical Necromancy,Runes,Weapon Property Runes,—
Goggles of Night,5,150 gp,Common,Invested Magical Transmutation,Worn Items,Other Worn Items,—
Infiltrator's Accessory,5,150 gp,Common,Illusion Magical,Weapons,Specific Magic Weapons,1
Pacifying,5,150 gp,Uncommon,Enchantment Magical,Runes,Weapon Property Runes,—
Vanishing Wayfinder,5,150 gp,Uncommon,Evocation Illusion Invested Magical,Worn Items,Other Worn Items,—
Caterwaul Sling,5,155 gp,Common,Evocation Magical,Weapons,Specific Magic Weapons,L
Armor Potency (+1),5,160 gp,Common,Abjuration Magical,Runes,Fundamental Armor Runes,—
Bort's Blessing,5,160 gp,Rare,Divination Invested,Worn Items,Other Worn Items,—
Fearsome,5,160 gp,Common,Emotion Enchantment Fear Magical Mental,Runes,Weapon Property Runes,—
Holy Prayer Beads,5,160 gp,Uncommon,Divine Healing Necromancy Positive,Held Items,—,—
Magic Armor (+1),5,160 gp,Common,Abjuration Invested Magical,Armor,Basic Magic Armor,—
Magic Wand (2nd-Level Spell),5,160 gp,Common,Magical Wand,Wands,Magic Wands,L
Merchant's Guile,5,160 gp,Uncommon,Enchantment Invested,Worn Items,Other Worn Items,—
Ring of Minor Arcana,5,160 gp,Uncommon,Arcane Evocation Invested,Worn Items,Other Worn Items,—
Ring of the Weary Traveler,5,160 gp,Uncommon,Invested Transmutation,Worn Items,Other Worn Items,—
Stalwart's Ring,5,160 gp,Uncommon,Invested Necromancy,Worn Items,Other Worn Items,—
Wand of Continuation (1st-Level Spell),5,160 gp,Common,Magical Wand,Wands,Specialty Wands,L
Wand of Manifold Missiles (1st-Level Spell),5,160 gp,Common,Evocation Force Magical Wand,Wands,Specialty Wands,L
Warrior's Training Ring,5,160 gp,Uncommon,Divination Invested,Worn Items,Other Worn Items,—
Reaper's Lancet,5,200 gp,Unique,Magical Necromancy Poison,Weapons,Specific Magic Weapons,1
Addiction Suppressant (Moderate),6,30 gp,Rare,Alchemical Consumable Elixir,Alchemical Items,Alchemical Elixirs,L
Antidote (Moderate),6,35 gp,Common,Alchemical Consumable Elixir,Alchemical Items,Alchemical Elixirs,L
Antiplague (Moderate),6,35 gp,Common,Alchemical Consumable Elixir,Alchemical Items,Alchemical Elixirs,L
Oil of Weightlessness (Greater),6,36 gp,Common,Consumable Magical Oil Transmutation,Consumables,Oils,L
Feather Token (Tree),6,38 gp,Common,Conjuration Consumable Magical,Consumables,Other Consumables,—
Bloodhound Mask (Moderate),6,40 gp,Common,Alchemical Consumable,Alchemical Items,Alchemical Tools,L
Giant Scorpion Venom,6,40 gp,Common,Alchemical Consumable Injury Poison,Alchemical Items,Alchemical Poisons,L
Nauseating Snare,6,40 gp,Common,Consumable Mechanical Poison Snare Trap,Snares,—,—
Salve of Antiparalysis,6,40 gp,Common,Consumable Healing Magical Necromancy Oil,Consumables,Oils,L
Extended Deteriorating Dust,6,45 gp,Uncommon,Consumable Evocation Magical,Consumables,Other Consumables,—
Potion of Resistance (Lesser),6,45 gp,Common,Abjuration Consumable Magical Potion,Consumables,Potions,L
Truth Potion,6,46 gp,Uncommon,Consumable Enchantment Magical Mental Potion,Consumables,Potions,L
Dust of Appearance,6,50 gp,Common,Consumable Divination Magical,Consumables,Other Consumables,—
